captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-25T12:34:42+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,133900,2400,1.83,535600,-145600,-21.374045801526716,323024,132100,133900,128600
2026-08-25T12:34:42+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,253500,-3500,-1.36,2535000,-552000,-17.881438289601554,12805148,249000,254000,245000
2026-08-25T12:34:42+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,35900,100,0.28,394900,-49650,-11.1685974581037,1119880,35750,35950,34200
2026-08-25T12:34:42+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,131900,3200,2.49,659500,88000,15.398075240594924,283097,128600,132000,128000
2026-08-25T12:34:42+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,121500,-735,-0.6,972000,-314700,-24.457915598041502,1246222,118580,121635,115060
2026-08-25T12:34:42+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,26555,35,0.13,4594015,-369525,-7.444787389645294,251401,26460,26560,26430
2026-08-25T12:34:42+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26270,35,0.13,9798710,786100,8.72222363998886,20635870,26190,26275,26150
2026-08-25T12:34:42+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,26630,35,0.13,11051450,447615,4.221255800377882,48096628,26500,26630,26415
2026-08-25T12:34:42+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,24080,-685,-2.77,2576560,-524846,-16.92284080188147,64340,23900,24100,23745
2026-08-25T12:34:42+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,30625,40,0.13,1929375,-254740,-11.663305274676471,212938,30475,30635,30380
2026-08-25T12:34:42+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15660,65,0.42,1237140,-15465,-1.234627037254362,177485,15630,15670,15600
2026-08-25T12:34:42+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,26400,450,1.73,343200,-48750,-12.437810945273633,123220,25700,26450,25450
2026-08-25T12:34:42+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,219500,-4000,-1.79,658500,6000,0.9195402298850575,605699,220500,220500,210000
