captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-07-29T09:55:14+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,125400,3600,2.96,501600,-179600,-26.365237815619498,242629,122700,126000,121800
2026-07-29T09:55:14+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,229000,9000,4.09,2290000,-797000,-25.81794622610949,10786237,226500,234000,224500
2026-07-29T09:55:14+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,37300,1650,4.63,410300,-34250,-7.704420200202453,1091033,36200,37650,36050
2026-07-29T09:55:14+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,126600,3600,2.93,633000,61500,10.761154855643044,179191,124000,127300,122100
2026-07-29T09:55:14+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,107010,-220,-0.21,856080,-430620,-33.46700862671951,548718,108740,111085,105450
2026-07-29T09:55:14+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,27230,90,0.33,4710790,-252750,-5.092131825269868,140681,27230,27305,27220
2026-07-29T09:55:14+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26935,105,0.39,10046755,1034145,11.474423058359342,3338525,26900,27025,26900
2026-07-29T09:55:14+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,26925,-5,-0.02,11173875,570040,5.37579092847069,928488,26980,27100,26910
2026-07-29T09:55:14+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,23495,-410,-1.72,2513965,-587441,-18.94111896346367,90251,23500,23685,23450
2026-07-29T09:55:14+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,30905,-20,-0.06,1947015,-237100,-10.855655494330655,185135,30975,31100,30895
2026-07-29T09:55:14+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15950,150,0.95,1260050,7445,0.5943613509446314,70213,15845,15975,15845
2026-07-29T09:55:14+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,27600,100,0.36,358800,-33150,-8.45771144278607,122890,27550,28300,27250
2026-07-29T09:55:14+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,210000,0,0,630000,-22500,-3.4482758620689653,352076,213500,213500,205000
