captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-09-11T09:55:18+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,125700,-1300,-1.02,502800,-178400,-26.189078097475043,112258,125100,126100,124900
2026-09-11T09:55:18+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,259500,-9500,-3.53,2595000,-492000,-15.937803692905733,3188806,258000,261000,257500
2026-09-11T09:55:18+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,34500,-400,-1.15,379500,-65050,-14.632774716004949,373128,34200,34850,33800
2026-09-11T09:55:18+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,135900,600,0.44,679500,108000,18.89763779527559,147577,134000,136200,133700
2026-09-11T09:55:18+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,130190,-6730,-4.92,1041520,-245180,-19.05494676303723,850750,130100,130950,128700
2026-09-11T09:55:18+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,185,5148880,27831.78378,25685,-15,-0.06,4751725,-397155,-7.713425055546061,290134,25700,25715,25655
2026-09-11T09:55:18+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,25410,-15,-0.06,9477930,465320,5.162988301945829,3540005,25425,25425,25375
2026-09-11T09:55:18+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,25960,-135,-0.52,10773400,169565,1.599091272167098,3941785,25945,25975,25910
2026-09-11T09:55:18+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,22425,-335,-1.47,2399475,-701931,-22.63267047268239,30943,22290,22425,22290
2026-09-11T09:55:18+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,69,2370115,34349.49275,29855,-145,-0.48,2059995,-310120,-13.084597160897257,93275,29875,29875,29795
2026-09-11T09:55:18+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,96,1672280,17419.58333,14750,25,0.17,1416000,-256280,-15.325184777668813,38406,14740,14775,14720
2026-09-11T09:55:18+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,26000,-300,-1.14,338000,-53950,-13.764510779436154,53749,25900,26250,25850
2026-09-11T09:55:18+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,203500,-4500,-2.16,610500,-42000,-6.436781609195402,120067,204000,206000,203000
