captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-07T12:53:21+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,133900,300,0.22,535600,-145600,-21.374045801526716,401058,134000,135000,131000
2026-08-07T12:53:21+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,231500,1000,0.43,2315000,-772000,-25.008098477486236,12711415,235000,239500,229000
2026-08-07T12:53:21+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,39675,1375,3.59,436425,-8125,-1.827690923405691,3116400,38300,40600,37800
2026-08-07T12:53:21+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,133200,-100,-0.08,666000,94500,16.535433070866144,335056,132000,133700,130200
2026-08-07T12:53:21+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,107000,-4045,-3.64,856000,-430700,-33.47322608222585,1282514,112135,114300,106145
2026-08-07T12:53:21+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,27410,-165,-0.6,4741930,-221610,-4.464757008103088,618690,27515,27550,27375
2026-08-07T12:53:21+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,27120,-155,-0.57,10115760,1103150,12.240072520612785,27527865,27230,27270,27080
2026-08-07T12:53:21+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,27597,-98,-0.35,11452755,848920,8.005782813482105,5376406,27770,27825,27565
2026-08-07T12:53:21+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,25800,-520,-1.98,2760600,-340806,-10.98875800201586,95641,25870,26000,25630
2026-08-07T12:53:21+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,31745,-105,-0.33,1999935,-184180,-8.432706153293209,294755,31910,31985,31700
2026-08-07T12:53:21+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15425,-105,-0.68,1218575,-34030,-2.7167383173466493,134106,15510,15525,15405
2026-08-07T12:53:21+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,27650,-650,-2.3,359450,-32500,-8.291873963515755,422656,28350,28500,27500
2026-08-07T12:53:21+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,211000,-15000,-6.64,633000,-19500,-2.9885057471264367,1195046,219500,222000,209000
