captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-09-11T12:45:10+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,126000,-1000,-0.79,504000,-177200,-26.01291837933059,255970,125100,126200,124900
2026-09-11T12:45:10+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,258500,-10500,-3.9,2585000,-502000,-16.261742792355037,8633243,258000,261000,256500
2026-09-11T12:45:10+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,34450,-450,-1.29,378950,-65600,-14.756495332358565,730838,34200,34850,33800
2026-09-11T12:45:10+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,137600,2300,1.7,688000,116500,20.384951881014874,355075,134000,137700,133700
2026-09-11T12:45:10+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,129090,-7830,-5.72,1032720,-253980,-19.73886686873397,1719345,130100,130950,128310
2026-09-11T12:45:10+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,185,5148880,27831.78378,25645,-55,-0.21,4744325,-404555,-7.857145631671354,415719,25700,25730,25622
2026-09-11T12:45:10+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,25367,-58,-0.23,9461891,449281,4.985026535043677,15917044,25425,25450,25342
2026-09-11T12:45:10+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,25890,-205,-0.79,10744350,140515,1.3251337841450759,8552966,25945,25995,25865
2026-09-11T12:45:10+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,22315,-445,-1.96,2387705,-713701,-23.012175768022633,110019,22290,22445,22282
2026-09-11T12:45:10+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,69,2370115,34349.49275,29770,-230,-0.77,2054130,-315985,-13.332053507952146,189869,29875,29885,29745
2026-09-11T12:45:10+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,96,1672280,17419.58333,14732,7,0.05,1414272,-258008,-15.428516755567252,129998,14740,14780,14720
2026-09-11T12:45:10+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,26250,-50,-0.19,341250,-50700,-12.935323383084576,143144,25900,26400,25850
2026-09-11T12:45:10+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,204000,-4000,-1.92,612000,-40500,-6.206896551724138,292003,204000,206000,203000
