captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-13T09:55:15+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,138600,3000,2.21,554400,-126800,-18.61421021726365,207679,137900,141000,137600
2026-08-13T09:55:15+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,265000,9500,3.72,2650000,-437000,-14.156138645934565,6233621,267500,270000,262500
2026-08-13T09:55:15+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,39400,-150,-0.38,433400,-11150,-2.508154313350579,658344,39800,40000,39150
2026-08-13T09:55:15+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,130200,2300,1.8,651000,79500,13.910761154855644,177167,130400,133900,128900
2026-08-13T09:55:15+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,123710,4755,4,989680,-297020,-23.08385793114168,660845,123320,124930,122560
2026-08-13T09:55:15+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,27425,-20,-0.07,4744525,-219015,-4.41247577333919,151358,27485,27490,27385
2026-08-13T09:55:15+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,27125,-10,-0.04,10117625,1105015,12.260765749322339,4574629,27185,27195,27090
2026-08-13T09:55:15+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,27780,55,0.2,11528700,924865,8.721985960739676,1910895,27820,27860,27750
2026-08-13T09:55:15+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,27210,995,3.8,2911470,-189936,-6.124190125381843,65954,27270,27330,27195
2026-08-13T09:55:15+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,31960,75,0.24,2013480,-170635,-7.812546500527675,121479,31995,32035,31915
2026-08-13T09:55:15+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15575,-15,-0.1,1230425,-22180,-1.7707098406919979,98394,15605,15615,15545
2026-08-13T09:55:15+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,28900,350,1.23,375700,-16250,-4.1459369817578775,110265,28950,29700,28800
2026-08-13T09:55:15+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,216500,1000,0.46,649500,-3000,-0.45977011494252873,228277,218500,220500,215500
