captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-10T09:50:18+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,134800,-100,-0.07,539200,-142000,-20.845566647093364,93523,133600,136200,132800
2026-08-10T09:50:18+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,234000,3000,1.3,2340000,-747000,-24.198250728862973,3792950,236000,238500,231000
2026-08-10T09:50:18+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,39150,-750,-1.88,430650,-13900,-3.1267573951186596,723069,39850,39850,38500
2026-08-10T09:50:18+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,129400,-5300,-3.93,647000,75500,13.21084864391951,173649,133700,133900,128000
2026-08-10T09:50:18+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,111500,3750,3.48,892000,-394700,-30.675371104375532,420964,108900,112845,108000
2026-08-10T09:50:18+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,27425,60,0.22,4744525,-219015,-4.41247577333919,102240,27360,27440,27315
2026-08-10T09:50:18+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,27130,55,0.2,10119490,1106880,12.28145897803189,3385201,27050,27145,27025
2026-08-10T09:50:18+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,27775,170,0.62,11526625,922790,8.702417568738102,739963,27715,27830,27680
2026-08-10T09:50:18+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,27030,1155,4.46,2892210,-209196,-6.745198790484058,86552,26495,27120,26495
2026-08-10T09:50:18+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,31940,200,0.63,2012220,-171895,-7.870235770552375,148230,31860,32000,31835
2026-08-10T09:50:18+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15445,35,0.23,1220155,-32450,-2.5906011871260293,75197,15410,15455,15375
2026-08-10T09:50:18+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,27950,150,0.54,363350,-28600,-7.2968490878938645,68648,27800,28200,27700
2026-08-10T09:50:18+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,210500,500,0.24,631500,-21000,-3.218390804597701,146598,210500,211500,206500
