captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-20T11:18:52+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,133700,700,0.53,534800,-146400,-21.49148561362302,294418,134600,134600,131700
2026-08-20T11:18:52+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,269750,22250,8.99,2697500,-389500,-12.617427923550373,12269799,257000,273000,252500
2026-08-20T11:18:52+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,39150,1750,4.68,430650,-13900,-3.1267573951186596,1274451,37450,39400,37450
2026-08-20T11:18:52+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,126200,-1300,-1.02,631000,59500,10.411198600174979,273678,127300,128700,125200
2026-08-20T11:18:52+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,126950,8830,7.48,1015600,-271100,-21.069402347089454,954389,122820,127885,121445
2026-08-20T11:18:52+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,26985,60,0.22,4668405,-295135,-5.946058659746875,212594,26880,27000,26790
2026-08-20T11:18:52+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26695,60,0.23,9957235,944625,10.481148080300823,22400485,26600,26710,26500
2026-08-20T11:18:52+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,27275,105,0.39,11319125,715290,6.7455783685808015,5454518,27155,27310,27080
2026-08-20T11:18:52+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,25370,150,0.59,2714590,-386816,-12.472278701982262,58299,25390,25390,24990
2026-08-20T11:18:52+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,31370,130,0.42,1976310,-207805,-9.514379966256357,278562,31215,31395,31130
2026-08-20T11:18:52+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15730,195,1.26,1242670,-9935,-0.793147081482191,209844,15680,15740,15630
2026-08-20T11:18:52+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,26950,900,3.45,350350,-41600,-10.613598673300165,181939,26300,27100,26200
2026-08-20T11:18:52+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,221000,13000,6.25,663000,10500,1.6091954022988506,590440,210500,223500,209500
