captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-24T12:40:48+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,130100,-800,-0.61,520400,-160800,-23.60540223135643,272536,132100,132200,129800
2026-08-24T12:40:48+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,257250,-24250,-8.61,2572500,-514500,-16.666666666666664,20236679,271500,272000,256500
2026-08-24T12:40:48+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,35800,0,0,393800,-50750,-11.416038690810932,2711198,35000,36500,34950
2026-08-24T12:40:48+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,127900,-900,-0.7,639500,68000,11.89851268591426,237851,129400,129600,126600
2026-08-24T12:40:48+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,122585,-4480,-3.53,980680,-306020,-23.783321675604256,999311,126290,127495,121910
2026-08-24T12:40:48+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,26535,-50,-0.19,4590555,-372985,-7.514495702663824,374017,26650,26670,26490
2026-08-24T12:40:48+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26250,-45,-0.17,9791250,778640,8.63945072515065,21896169,26390,26395,26205
2026-08-24T12:40:48+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,26680,-195,-0.73,11072200,468365,4.4169397203936125,19483298,26935,26940,26660
2026-08-24T12:40:48+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,24870,485,1.99,2661090,-440316,-14.197302771710637,92561,25320,25320,24815
2026-08-24T12:40:48+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,30680,-210,-0.68,1932840,-251275,-11.504659782108542,686754,30955,30970,30660
2026-08-24T12:40:48+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15610,60,0.39,1233190,-19415,-1.5499698628059124,189198,15635,15680,15560
2026-08-24T12:40:48+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,25850,-250,-0.96,336050,-55900,-14.262023217247096,189590,26000,26100,25750
2026-08-24T12:40:48+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,222500,500,0.23,667500,15000,2.2988505747126435,1225129,231000,235000,221000
