captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-07-17T09:55:20+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,149700,4700,3.24,598800,-82400,-12.096300645918967,967288,143400,150500,142400
2026-07-17T09:55:20+09:00,KIS_OPEN_API,005930,삼성전자,7,2356500,336642.8571,255000,-24500,-8.77,1785000,-571500,-24.252068746021642,27001478,264500,265500,252500
2026-07-17T09:55:20+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,35900,1000,2.87,394900,-49650,-11.1685974581037,2680070,34700,36450,34150
2026-07-17T09:55:20+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,136800,0,0,684000,112500,19.68503937007874,1109404,141000,142500,133200
2026-07-17T09:55:20+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,132230,-13870,-9.49,1057840,-228860,-17.786585839745083,2656887,136425,138110,131040
2026-07-17T09:55:20+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,157,4526260,28829.68153,28135,-85,-0.3,4417195,-109065,-2.409605281181373,929703,28255,28295,28135
2026-07-17T09:55:20+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,27860,-65,-0.23,10391780,1379170,15.302670369626556,103621257,27935,27995,27860
2026-07-17T09:55:20+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,28995,-430,-1.46,12032925,1429090,13.477105217121919,7551579,29100,29160,28990
2026-07-17T09:55:20+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,26135,-1365,-4.96,2796445,-304961,-9.832991875297848,117280,26180,26210,26050
2026-07-17T09:55:20+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,56,1964910,35087.67857,33265,-505,-1.5,1862840,-102070,-5.194639958064237,881438,33400,33465,33265
2026-07-17T09:55:20+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,73,1157745,15859.52055,15460,15,0.1,1128580,-29165,-2.5191212227217563,223054,15465,15530,15455
2026-07-17T09:55:20+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,31000,-100,-0.32,403000,11050,2.8192371475953566,437936,30750,31350,29750
2026-07-17T09:55:20+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,190000,400,0.21,570000,-82500,-12.643678160919542,737459,188200,191300,185400
