captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-07-29T13:55:14+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,116800,-5000,-4.11,467200,-214000,-31.415149735760423,1248777,122700,126500,114700
2026-07-29T13:55:14+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,198300,-21700,-9.86,1983000,-1104000,-35.76287657920311,43923084,226500,234000,189200
2026-07-29T13:55:14+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,35450,-200,-0.56,389950,-54600,-12.282083005286244,3817213,36200,37900,34650
2026-07-29T13:55:14+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,119100,-3900,-3.17,595500,24000,4.199475065616798,744694,124000,127700,117600
2026-07-29T13:55:14+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,92835,-14395,-13.42,742680,-544020,-42.280251806948,2461535,108740,111085,88875
2026-07-29T13:55:14+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,26880,-260,-0.96,4650240,-313300,-6.312027303094163,491590,27230,27305,26810
2026-07-29T13:55:14+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26575,-255,-0.95,9912475,899865,9.984510591271563,12905236,26900,27025,26510
2026-07-29T13:55:14+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,26430,-500,-1.86,10968450,364615,3.438520120314961,4008778,26980,27100,26315
2026-07-29T13:55:14+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,22655,-1250,-5.23,2424085,-677321,-21.83915940060734,251016,23500,23685,22505
2026-07-29T13:55:14+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,30335,-590,-1.91,1911105,-273010,-12.499799690034637,575216,30975,31100,30210
2026-07-29T13:55:14+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15825,25,0.16,1250175,-2430,-0.19399571293424503,330835,15845,15975,15755
2026-07-29T13:55:14+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,25400,-2100,-7.64,330200,-61750,-15.754560530679933,714706,27550,28300,24900
2026-07-29T13:55:14+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,197200,-12800,-6.1,591600,-60900,-9.333333333333334,1438721,213500,213500,194600
