captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-07-07T09:55:20+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,154000,-6700,-4.17,616000,-65200,-9.571344685848503,303569,157700,159100,152300
2026-07-07T09:55:20+09:00,KIS_OPEN_API,005930,삼성전자,7,2356500,336642.8571,300000,-18000,-5.66,2100000,-256500,-10.884786760025461,7376208,307000,310000,296500
2026-07-07T09:55:20+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,35450,-150,-0.42,389950,-54600,-12.282083005286244,351097,35600,35950,35000
2026-07-07T09:55:20+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,124300,-500,-0.4,621500,50000,8.748906386701663,173965,124200,125700,123300
2026-07-07T09:55:20+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,148465,-5045,-3.29,1187720,-98980,-7.692546825211783,358870,149500,152680,146270
2026-07-07T09:55:20+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,157,4526260,28829.68153,28895,40,0.14,4536515,10255,0.22656674605524207,147270,28895,28960,28885
2026-07-07T09:55:20+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,28595,40,0.14,10665935,1653325,18.344574989930777,4167099,28605,28665,28590
2026-07-07T09:55:20+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,30030,10,0.03,12462450,1858615,17.527762361447532,1134488,30055,30100,30000
2026-07-07T09:55:20+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,31780,-445,-1.38,3400460,299054,9.642529871935503,73520,32090,32165,31755
2026-07-07T09:55:20+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,56,1964910,35087.67857,34465,5,0.01,1930040,-34870,-1.7746359884167722,189392,34505,34560,34435
2026-07-07T09:55:20+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,73,1157745,15859.52055,15970,-100,-0.62,1165810,8065,0.6966128119750031,102300,15975,16005,15960
2026-07-07T09:55:20+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,31750,-1350,-4.08,412750,20800,5.306799336650083,221101,32650,33100,31450
2026-07-07T09:55:20+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,196800,200,0.1,590400,-62100,-9.517241379310343,249888,194600,198900,194000
