captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-31T09:50:18+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,128900,900,0.7,515600,-165600,-24.310041103934232,170308,127400,129400,125500
2026-08-31T09:50:18+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,251000,-6000,-2.33,2510000,-577000,-18.691286038224813,3650986,249000,253000,246000
2026-08-31T09:50:18+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,36200,-650,-1.76,398200,-46350,-10.426273759982005,342286,36350,36450,35550
2026-08-31T09:50:18+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,135100,-900,-0.66,675500,104000,18.19772528433946,99546,137100,137300,135000
2026-08-31T09:50:18+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,120835,-3420,-2.75,966680,-320020,-24.871376389212717,390444,119460,122500,118085
2026-08-31T09:50:18+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,185,5148880,27831.78378,26560,-15,-0.06,4913600,-235280,-4.56953745280527,129108,26550,26590,26480
2026-08-31T09:50:18+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26280,0,0,9802440,789830,8.763610097407964,4213359,26275,26305,26195
2026-08-31T09:50:18+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,26745,-90,-0.34,11099175,495340,4.671328816414062,4564311,26680,26780,26625
2026-08-31T09:50:18+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,23185,-930,-3.86,2480795,-620611,-20.01063388669526,32168,23200,23250,23045
2026-08-31T09:50:18+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,69,2370115,34349.49275,30755,-105,-0.34,2122095,-248020,-10.464471133257247,87015,30705,30790,30620
2026-08-31T09:50:18+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,96,1672280,17419.58333,15465,60,0.39,1484640,-187640,-11.2206089889253,147860,15435,15485,15415
2026-08-31T09:50:18+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,26200,-450,-1.69,340600,-51350,-13.101160862354892,46909,26350,26350,25800
2026-08-31T09:50:18+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,214500,-6000,-2.72,643500,-9000,-1.3793103448275863,187124,214500,215500,209000
