captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-08-19T13:59:00+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,131600,-5600,-4.08,526400,-154800,-22.724603640634175,432624,132800,133600,130000
2026-08-19T13:59:00+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,247750,-20750,-7.73,2477500,-609500,-19.74408811143505,16519032,251500,254500,247000
2026-08-19T13:59:00+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,37200,-1050,-2.75,409200,-35350,-7.951861432909683,1080073,37150,37750,36450
2026-08-19T13:59:00+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,127000,-3700,-2.83,635000,63500,11.11111111111111,509363,127100,128000,122100
2026-08-19T13:59:00+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,118885,-6520,-5.2,951080,-335620,-26.08378021294785,1811059,117050,122350,116300
2026-08-19T13:59:00+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,173,4963540,28690.98266,26940,-360,-1.32,4660620,-302920,-6.102902364038569,452182,27240,27240,26915
2026-08-19T13:59:00+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26650,-345,-1.28,9940450,927840,10.29490902191485,24878654,26950,26950,26630
2026-08-19T13:59:00+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,27220,-570,-2.05,11296300,692465,6.530326056563498,11928366,27530,27530,27180
2026-08-19T13:59:00+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,25335,-1355,-5.08,2710845,-390561,-12.59303038686325,130266,25605,25800,25325
2026-08-19T13:59:00+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,63,2184115,34668.49206,31300,-655,-2.05,1971900,-212215,-9.71629241134281,502948,31640,31650,31255
2026-08-19T13:59:00+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,79,1252605,15855.75949,15545,-50,-0.32,1228055,-24550,-1.9599155360229281,199590,15670,15725,15530
2026-08-19T13:59:00+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,25900,-1600,-5.82,336700,-55250,-14.096185737976782,515783,26850,26850,25750
2026-08-19T13:59:00+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,206500,-10500,-4.84,619500,-33000,-5.057471264367816,552644,208500,209500,203000
