captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-09-04T09:50:20+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,126800,-600,-0.47,507200,-174000,-25.54315913094539,223317,132700,132700,126400
2026-09-04T09:50:20+09:00,KIS_OPEN_API,005930,삼성전자,10,3087000,308700,255500,5500,2.2,2555000,-532000,-17.233560090702948,2653912,254000,255500,253000
2026-09-04T09:50:20+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,35950,600,1.7,395450,-49100,-11.044876841750085,284514,35700,36100,35600
2026-09-04T09:50:20+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,136300,-3200,-2.29,681500,110000,19.247594050743658,197510,139500,141000,136100
2026-09-04T09:50:20+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,123365,4035,3.38,986920,-299780,-23.298360146110205,333637,120820,123375,120820
2026-09-04T09:50:20+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,185,5148880,27831.78378,26360,240,0.92,4876600,-272280,-5.288140333431737,119637,26300,26385,26300
2026-09-04T09:50:20+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,26075,235,0.91,9725975,713365,7.915187720316312,5601783,26020,26105,26020
2026-09-04T09:50:20+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,26500,295,1.13,10997500,393665,3.7124776083369837,3559458,26425,26520,26420
2026-09-04T09:50:20+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,22940,400,1.77,2454580,-646826,-20.85589568086216,45133,22925,22940,22760
2026-09-04T09:50:20+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,69,2370115,34349.49275,30470,340,1.13,2102430,-267685,-11.294177708676584,79618,30385,30495,30380
2026-09-04T09:50:20+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,96,1672280,17419.58333,15325,30,0.2,1471200,-201080,-12.024302150357595,34307,15300,15340,15295
2026-09-04T09:50:20+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,26400,100,0.38,343200,-48750,-12.437810945273633,58902,26600,26800,26400
2026-09-04T09:50:20+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,212500,5000,2.41,637500,-15000,-2.2988505747126435,151236,210500,213500,210000
